label,message
ham,Let's meet at the cafe after university.
ham,Aj match dekhne aa rahe ho?
ham,Your WhatsApp verification code is 959745.
ham,Where are you? We are waiting outside.
ham,Can you send me the notes for today's lecture?
ham,Don't forget to submit the lab report.
spam,Easypaisa alert: Your account will be suspended. Update details now.
spam,JazzCash account verify karne ke liye OTP bhejein.
spam,Congratulations! You have won Rs 100000. Click here to claim your reward.
ham,Aaj office se late aaunga.
ham,Your food order has been delivered successfully.
ham,Class starts at 9 AM tomorrow.
spam,Your CNIC has won a lucky draw prize of Rs 50000.
spam,You received a parcel. Pay Rs 100 delivery charges here.
ham,Doctor appointment kal 5 baje hai.
ham,Bank Alfalah OTP: 525369.
spam,PTA notice: Your SIM will be blocked unless verified today.
spam,Free internet MBs available now! Click this link quickly.
ham,Can you send me the notes for today's lecture?
ham,Main thori dair mein call karti hoon.
spam,Free MBs hasil karne ke liye is link par click karein.
ham,Let's meet at the cafe after university.
spam,BISP payment receive karne ke liye details confirm karein.
spam,JazzCash account verify karne ke liye OTP bhejein.
spam,Aap ki SIM band hone wali hai. Fori verify karein.
ham,Your package will arrive tomorrow.
spam,JazzCash account verify karne ke liye OTP bhejein.
spam,Aap ki SIM band hone wali hai. Fori verify karein.
spam,BISP payment receive karne ke liye details confirm karein.
spam,Urgent: Aapka bank account hack ho gaya hai. OTP share karein.
ham,Can you send me the notes for today's lecture?
spam,Loan approved! CNIC number verify karein aur amount hasil karein.
ham,Where are you? We are waiting outside.
ham,Meeting has been shifted to 4 PM.
ham,Can you send me the notes for today's lecture?
spam,JazzCash account verify karne ke liye OTP bhejein.
ham,Kal university jaldi ana presentation hai.
ham,Your package will arrive tomorrow.
spam,Free internet MBs available now! Click this link quickly.
spam,Click this secure link to reactivate your bank account.
spam,Ap ne Rs 50000 jeet liye hain. Claim karne ke liye link open karein.
spam,Easypaisa alert: Your account will be suspended. Update details now.
spam,WhatsApp verification code foran send karein warna account suspend ho jayega.
ham,Can you send me the notes for today's lecture?
ham,Main thori dair mein call karti hoon.
ham,Please bring milk on your way home.
spam,"Dear user, your ATM card has been blocked. Update your PIN now."
ham,Your WhatsApp verification code is 695395.
ham,Your WhatsApp verification code is 318915.
spam,Free MBs hasil karne ke liye is link par click karein.
spam,Urgent: Aapka bank account hack ho gaya hai. OTP share karein.
ham,Your package will arrive tomorrow.
ham,I will call you after reaching home.
ham,Ammi keh rahi hain wapsi par doodh le ana.
ham,Your package will arrive tomorrow.
spam,JazzCash account blocked. Verify now using this link immediately.
ham,Doctor appointment kal 5 baje hai.
ham,Dinner is ready. Come downstairs.
spam,Get instant loan approval without documents. Apply today.
spam,Your CNIC has won a lucky draw prize of Rs 100000.
spam,Click this secure link to reactivate your bank account.
ham,OTP for your bank transaction is 935631. Do not share this code.
spam,Free internet MBs available now! Click this link quickly.
spam,You received a parcel. Pay Rs 20 delivery charges here.
spam,Click this secure link to reactivate your bank account.
ham,Aaj office se late aaunga.
ham,Aj match dekhne aa rahe ho?
ham,Let's meet at the cafe after university.
spam,You received a parcel. Pay Rs 20 delivery charges here.
ham,Mujhe assignment ki PDF bhej do.
spam,Get instant loan approval without documents. Apply today.
spam,Congratulations! You have won Rs 25000. Click here to claim your reward.
ham,Your package will arrive tomorrow.
spam,Loan approved! CNIC number verify karein aur amount hasil karein.
spam,Loan approved! CNIC number verify karein aur amount hasil karein.
spam,Get instant loan approval without documents. Apply today.
spam,Congratulations! You have won Rs 100000. Click here to claim your reward.
ham,Aj match dekhne aa rahe ho?
spam,WhatsApp verification code foran send karein warna account suspend ho jayega.
spam,Easypaisa alert: Your account will be suspended. Update details now.
ham,Kal university jaldi ana presentation hai.
spam,Your CNIC has won a lucky draw prize of Rs 25000.
spam,You have been selected for a free Umrah package. Register now.
spam,Congratulations! You have won Rs 100000. Click here to claim your reward.
spam,PTA notice: Your SIM will be blocked unless verified today.
spam,WhatsApp verification code foran send karein warna account suspend ho jayega.
ham,Aj match dekhne aa rahe ho?
ham,Let's meet at the cafe after university.
spam,Share your WhatsApp OTP to avoid account suspension.
spam,Loan approved! CNIC number verify karein aur amount hasil karein.
ham,Kal university jaldi ana presentation hai.
spam,JazzCash account blocked. Verify now using this link immediately.
ham,Can you send me the notes for today's lecture?
spam,JazzCash account blocked. Verify now using this link immediately.
spam,Loan approved! CNIC number verify karein aur amount hasil karein.
spam,Ap ne Rs 25000 jeet liye hain. Claim karne ke liye link open karein.
ham,Let's meet at the cafe after university.
spam,Aap ka parcel ruk gaya hai. Rs 50 fees jama karwayen.
ham,Let's meet at the cafe after university.
spam,Congratulations! You have won Rs 50000. Click here to claim your reward.
ham,OTP for your bank transaction is 811616. Do not share this code.
ham,Assignment submission deadline is Friday.
ham,Main thori dair mein call karti hoon.
ham,Mujhe assignment ki PDF bhej do.
spam,Share your WhatsApp OTP to avoid account suspension.
spam,Free internet MBs available now! Click this link quickly.
spam,BISP payment receive karne ke liye details confirm karein.
ham,Please bring milk on your way home.
spam,JazzCash account blocked. Verify now using this link immediately.
spam,Free MBs hasil karne ke liye is link par click karein.
spam,JazzCash account verify karne ke liye OTP bhejein.
ham,Main thori dair mein call karti hoon.
ham,Your food order has been delivered successfully.
spam,Get instant loan approval without documents. Apply today.
ham,Kal university jaldi ana presentation hai.
ham,Aj match dekhne aa rahe ho?
spam,Aap ka parcel ruk gaya hai. Rs 100 fees jama karwayen.
spam,Ap ne Rs 5000 jeet liye hain. Claim karne ke liye link open karein.
ham,Mujhe assignment ki PDF bhej do.
spam,Free internet MBs available now! Click this link quickly.
spam,Urgent! Your bank account has been compromised. Verify your OTP now.
spam,Free MBs hasil karne ke liye is link par click karein.
spam,PTA notice: Your SIM will be blocked unless verified today.
ham,Ammi keh rahi hain wapsi par doodh le ana.
spam,Share your WhatsApp OTP to avoid account suspension.
ham,Kal university jaldi ana presentation hai.
ham,Don't forget to submit the lab report.
spam,Easypaisa alert: Your account will be suspended. Update details now.
ham,Mujhe assignment ki PDF bhej do.
spam,You have been selected for a free Umrah package. Register now.
spam,BISP payment receive karne ke liye details confirm karein.
ham,Your package will arrive tomorrow.
ham,Dinner is ready. Come downstairs.
ham,Please bring milk on your way home.
ham,Ammi keh rahi hain wapsi par doodh le ana.
spam,Aap ka parcel ruk gaya hai. Rs 20 fees jama karwayen.
spam,Congratulations! You have won Rs 10000. Click here to claim your reward.
spam,You received a parcel. Pay Rs 20 delivery charges here.
ham,Can you send me the notes for today's lecture?
ham,Your WhatsApp verification code is 904332.
ham,Please bring milk on your way home.
ham,Can you send me the notes for today's lecture?
ham,Can you send me the notes for today's lecture?
ham,Doctor appointment kal 5 baje hai.
spam,You have been selected for a free Umrah package. Register now.
spam,Free MBs hasil karne ke liye is link par click karein.
spam,Ap ne Rs 25000 jeet liye hain. Claim karne ke liye link open karein.
spam,Forward your verification code immediately to claim your prize.
spam,PTA notice: Your SIM will be blocked unless verified today.
spam,Share your WhatsApp OTP to avoid account suspension.
spam,"Dear user, your ATM card has been blocked. Update your PIN now."
spam,WhatsApp verification code foran send karein warna account suspend ho jayega.
spam,BISP payment receive karne ke liye details confirm karein.
spam,Ap ne Rs 10000 jeet liye hain. Claim karne ke liye link open karein.
spam,PTA notice: Your SIM will be blocked unless verified today.
ham,Kal university jaldi ana presentation hai.
ham,Your food order has been delivered successfully.
ham,Mujhe assignment ki PDF bhej do.
spam,Share your WhatsApp OTP to avoid account suspension.
spam,Click this secure link to reactivate your bank account.
spam,Urgent! Your bank account has been compromised. Verify your OTP now.
spam,Aap ki SIM band hone wali hai. Fori verify karein.
spam,You received a parcel. Pay Rs 200 delivery charges here.
ham,Let's meet at the cafe after university.
ham,Aaj ka lecture online hoga.
ham,Assignment submission deadline is Friday.
spam,Loan approved! CNIC number verify karein aur amount hasil karein.
spam,You have been selected for a free Umrah package. Register now.
ham,OTP kisi ke sath share mat karein. Code: 496351.
spam,Easypaisa alert: Your account will be suspended. Update details now.
spam,Aap ki SIM band hone wali hai. Fori verify karein.
spam,Your CNIC has won a lucky draw prize of Rs 5000.
spam,Click this secure link to reactivate your bank account.
spam,Ap ne Rs 5000 jeet liye hain. Claim karne ke liye link open karein.
spam,You have been selected for a free Umrah package. Register now.
spam,BISP payment receive karne ke liye details confirm karein.
ham,I will call you after reaching home.
ham,OTP kisi ke sath share mat karein. Code: 152363.
ham,Where are you? We are waiting outside.
ham,Your WhatsApp verification code is 585929.
ham,Please bring milk on your way home.
spam,Aap ka parcel ruk gaya hai. Rs 20 fees jama karwayen.
spam,Aap ka parcel ruk gaya hai. Rs 200 fees jama karwayen.
spam,Congratulations! You have won Rs 50000. Click here to claim your reward.
spam,JazzCash account blocked. Verify now using this link immediately.
ham,Let's meet at the cafe after university.
spam,Urgent: Aapka bank account hack ho gaya hai. OTP share karein.
spam,Click this secure link to reactivate your bank account.
spam,Loan approved! CNIC number verify karein aur amount hasil karein.
spam,Loan approved! CNIC number verify karein aur amount hasil karein.
spam,Share your WhatsApp OTP to avoid account suspension.
ham,Dinner is ready. Come downstairs.
spam,Click this secure link to reactivate your bank account.
spam,You received a parcel. Pay Rs 100 delivery charges here.
spam,Forward your verification code immediately to claim your prize.
ham,Kal university jaldi ana presentation hai.
spam,Free MBs hasil karne ke liye is link par click karein.
spam,Your CNIC has won a lucky draw prize of Rs 100000.
spam,Get instant loan approval without documents. Apply today.
ham,Aaj office se late aaunga.
spam,You received a parcel. Pay Rs 200 delivery charges here.
ham,Class starts at 9 AM tomorrow.
spam,PTA notice: Your SIM will be blocked unless verified today.
spam,Congratulations! You have won Rs 5000. Click here to claim your reward.
